name,scr,naming,conditional,events,loop,proc,lists,dp,sensors,media,social,connect,draw,operator,ui,total
Catchtheball,1,2,0,3,0,3,1,0,0,0,0,0,2,3,1,16
Delorean_Project,1,3,3,3,0,0,0,2,1,0,0,2,0,3,2,20
MFApp,3,0,3,3,0,0,2,3,1,0,0,0,0,3,3,21
PingPong,2,2,2,3,0,3,1,0,1,1,0,0,3,3,2,23
pop0318204010,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,7
pop0318204115,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5
pop0318204143,1,2,1,2,0,0,0,2,1,0,0,1,0,3,2,15
pop0318204158,2,2,1,2,0,0,0,2,1,0,0,1,0,3,3,17
pop0318204224,1,2,1,3,0,1,0,0,1,0,0,3,0,0,2,14
pop0318204405,1,2,0,0,0,0,0,0,1,2,0,0,3,0,2,11
pop0318204439,3,2,3,3,0,2,3,2,1,2,0,3,0,3,3,30
pop0318204636,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5
pop0318204755,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
pop0318210018,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,5
pop0318210240,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,6
pop0318210328,3,2,2,3,3,3,2,2,2,3,0,1,3,3,3,35
pop0318210537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
pop0318210607,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
pop0318210652,1,2,0,1,0,0,1,0,1,2,0,0,0,2,0,10
pop2PlayerPong0318210349,1,2,1,3,0,0,0,0,0,1,0,0,3,3,2,16
popAttackofthe0318205812,2,3,0,3,3,3,2,0,1,1,0,0,3,2,2,25
popBestapplica0318205858,2,2,0,3,0,0,0,0,1,1,0,0,1,3,2,15
popBOGORsemoga0318210137,3,2,0,3,0,0,2,0,1,1,3,3,0,1,3,22
popBrickBreakF0318204516,1,2,1,3,0,3,0,0,1,0,0,0,3,3,2,19
popCalculator0318210147,1,3,2,1,0,3,0,0,0,0,0,0,0,3,2,15
popDIPOLOGEVAN0318210624,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGGANN0318210116,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGHERR0318205603,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGMARI0318210126,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGPOST0318210338,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGRAMI0318205751,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDIPOLOGREYE0318205552,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,5
popDressthedoll0318210359,2,3,2,2,0,0,0,0,0,2,0,0,3,3,3,20
popEuroFrance20318204032,2,1,1,3,0,0,0,0,1,2,0,0,0,3,2,15
popFL4PPYBiRDD0318205935,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,7
popFlappyBird0318204657,1,3,3,3,3,3,2,2,1,1,0,1,3,3,3,32
